displayValue,id,headline,headlineV2/text
"Farming, Ranching, Forestry",201,"Farming, Ranching, Forestry","Farming, Ranching, Forestry"
Reupholstery and Furniture Repair,2253,Reupholstery and Furniture Repair,Reupholstery and Furniture Repair
Wholesale Footwear,1230,Wholesale Footwear,Wholesale Footwear
Wholesale Food and Beverage,1231,Wholesale Food and Beverage,Wholesale Food and Beverage
Footwear and Leather Goods Repair,2255,Footwear and Leather Goods Repair,Footwear and Leather Goods Repair
Personal and Laundry Services,2258,Personal and Laundry Services,Personal and Laundry Services
Personal Care Services,2259,Personal Care Services,Personal Care Services
Laundry and Drycleaning Services,2272,Laundry and Drycleaning Services,Laundry and Drycleaning Services
Wholesale Raw Farm Products,1250,Wholesale Raw Farm Products,Wholesale Raw Farm Products
Wholesale Chemical and Allied Products,1257,Wholesale Chemical and Allied Products,Wholesale Chemical and Allied Products
Pet Services,2282,Pet Services,Pet Services
Wholesale Petroleum and Petroleum Products,1262,Wholesale Petroleum and Petroleum Products,Wholesale Petroleum and Petroleum Products
Wholesale Alcoholic Beverages,1267,Wholesale Alcoholic Beverages,Wholesale Alcoholic Beverages
Ranching and Fisheries,256,Ranching and Fisheries,Ranching and Fisheries
Internet Marketplace Platforms,1285,Internet Marketplace Platforms,Internet Marketplace Platforms
Retail Motor Vehicles,1292,Retail Motor Vehicles,Retail Motor Vehicles
Household Services,2318,Household Services,Household Services
Retail Furniture and Home Furnishings,1309,Retail Furniture and Home Furnishings,Retail Furniture and Home Furnishings
"Retail Appliances, Electrical, and Electronic Equipment",1319,"Retail Appliances, Electrical, and Electronic Equipment","Retail Appliances, Electrical, and Electronic Equipment"
Forestry and Logging,298,Forestry and Logging,Forestry and Logging
Retail Building Materials and Garden Equipment,1324,Retail Building Materials and Garden Equipment,Retail Building Materials and Garden Equipment
Health and Human Services,2353,Health and Human Services,Health and Human Services
Public Health,2358,Public Health,Public Health
Public Assistance Programs,2360,Public Assistance Programs,Public Assistance Programs
Food and Beverage Retail,1339,Food and Beverage Retail,Food and Beverage Retail
"Air, Water, and Waste Program Management",2366,"Air, Water, and Waste Program Management","Air, Water, and Waste Program Management"
Conservation Programs,2368,Conservation Programs,Conservation Programs
Housing and Community Development,2369,Housing and Community Development,Housing and Community Development
Community Development and Urban Planning,2374,Community Development and Urban Planning,Community Development and Urban Planning
Economic Programs,2375,Economic Programs,Economic Programs
"Oil, Gas, and Mining",332,"Oil, Gas, and Mining","Oil, Gas, and Mining"
Retail Health and Personal Care Products,1359,Retail Health and Personal Care Products,Retail Health and Personal Care Products
Coal Mining,341,Coal Mining,Coal Mining
Military and International Affairs,2391,Military and International Affairs,Military and International Affairs
Metal Ore Mining,345,Metal Ore Mining,Metal Ore Mining
Retail Gasoline,1370,Retail Gasoline,Retail Gasoline
Operations Consulting,2401,Operations Consulting,Operations Consulting
Nonmetallic Mineral Mining,356,Nonmetallic Mineral Mining,Nonmetallic Mineral Mining
"Electric Power Transmission, Control, and Distribution",382,"Electric Power Transmission, Control, and Distribution","Electric Power Transmission, Control, and Distribution"
Retail Musical Instruments,1407,Retail Musical Instruments,Retail Musical Instruments
Electric Power Generation,383,Electric Power Generation,Electric Power Generation
Hydroelectric Power Generation,384,Hydroelectric Power Generation,Hydroelectric Power Generation
Retail Books and Printed News,1409,Retail Books and Printed News,Retail Books and Printed News
Fossil Fuel Electric Power Generation,385,Fossil Fuel Electric Power Generation,Fossil Fuel Electric Power Generation
Nuclear Electric Power Generation,386,Nuclear Electric Power Generation,Nuclear Electric Power Generation
Solar Electric Power Generation,387,Solar Electric Power Generation,Solar Electric Power Generation
Environmental Quality Programs,388,Environmental Quality Programs,Environmental Quality Programs
